time,addr,txid,value
2020-07-29 21:19:17,"['34f9z3us96TTZDW6WvYFF8FT8rNiQ7Tqar', '3EfMC9obe96YGZVvqrzcxpmHMXDNUF1uEA', '3C3JeSotgvokzszrcU3VSnm8oGPVH7KBrg']",6e1033640e100aa54bfc64e1442ffa10907c0298e3c4b406aafb2f092bfc4a8a,-16.00044807
2020-07-30 14:09:36,['36h3MqTkJPpygkJjGmcQRBEgC5t8Hn3rge'],c08ec6be9f12fdd7cc213307df01e1e3313e6f3cceb3fe82b5128c2fcd457b3a,1.42e-05
2020-08-03 17:35:27,['36C31DQDd5QDCP6hdPpWcC9aZsHTeNtAj4'],88c5806b7a79c6a41bbc3870cc6beb27d07ff683a5e219e32392a35259f10652,59.36915341
2020-08-03 17:59:17,"['38cL5reDeqr3ANxuNH4YiJhBVrArs9RW2y', '37jq49ZQXsdzzW2NSCbgH6uLd7WGp8aTz9', '3EfMC9obe96YGZVvqrzcxpmHMXDNUF1uEA', '36C31DQDd5QDCP6hdPpWcC9aZsHTeNtAj4']",fd8acf39ad516c4ae65110c1f017181cec3252f417cdf3527422d6941b611f90,-30.0008025
2020-08-04 17:17:06,['36C31DQDd5QDCP6hdPpWcC9aZsHTeNtAj4'],118fbcd0a90e2d3b3e94a0c31c6ffe804f2d58370a5233d045b7b84794d24329,8.14271925
2020-08-05 17:44:22,['36C31DQDd5QDCP6hdPpWcC9aZsHTeNtAj4'],e17b04988d97d49b64f7153909adb638ae12d69787b13a0c004e90c416f54a4f,10.24646143
2020-08-08 16:20:41,['36C31DQDd5QDCP6hdPpWcC9aZsHTeNtAj4'],dd76df8182f2c231bd3ac4c2e0f89534be2da860e78a8f2f809ed47911b4aba5,12.79434929
2020-08-08 16:20:41,['37V1UK4keh3gR34K35snydF7H62s5BQyGX'],806140e00fd6b6b702793deb6a580a0f35cb923247909941553ab74f8ef13e1c,31.01
2020-08-08 16:43:57,"['358awTr19kJMQqBrAorvXuWRCWshrQnkVv', '36C31DQDd5QDCP6hdPpWcC9aZsHTeNtAj4', '37V1UK4keh3gR34K35snydF7H62s5BQyGX']",addf02ae8dbe551959f9331d0290c9c078e4df0eb1584c564f42665801aa215c,-21.90050193
2020-08-08 16:43:57,"['3Hvk7qPgshHZW8w1etcgr3mfPNfVooYMqz', '37jq49ZQXsdzzW2NSCbgH6uLd7WGp8aTz9']",1bd0c14810dc50b75dd1077f2510aa62eff98323e9a01595ace9d0f37b5dcd7a,-21.90023881
2020-08-13 01:19:08,['36C31DQDd5QDCP6hdPpWcC9aZsHTeNtAj4'],4acfce48e2cfeb03b5c309ba6d2669f30fdb54b147c002d46582d115c0a76b32,20.19945079
2020-08-17 16:46:32,"['352rnCueA4ASDdbW3h2fprGhgEezTNwJt9', '3Hvk7qPgshHZW8w1etcgr3mfPNfVooYMqz']",660826f3dd60e05e7ceda319e2bbb2afe8102944dbf54ed7d0341481943760dc,-0.10015548
2020-08-17 17:08:47,['36C31DQDd5QDCP6hdPpWcC9aZsHTeNtAj4'],1299693121e3afad0c107c43ec95f9fe783e2205d427c5b199e301e59b3f0006,15.02400897
2020-08-17 17:08:47,"['352rnCueA4ASDdbW3h2fprGhgEezTNwJt9', '3Q8wtBRWH37rUnb2wNn6uFvGuq98QYAQDu', '36C31DQDd5QDCP6hdPpWcC9aZsHTeNtAj4', '358awTr19kJMQqBrAorvXuWRCWshrQnkVv']",86d373023c41554f852a8b3e2bd19a26b8767a5af0a87bd0e54ae5fc2fb1dc5a,-73.90035653
2020-08-18 16:39:22,['36Sd4cU4YsQpkMYJ6nrdzFHAFjQHRJRid2'],bb8b242748532180300c139e0e1f37f73f218a33f48e3e6084f40adfe9309391,0.000424
2020-08-21 17:06:30,['36C31DQDd5QDCP6hdPpWcC9aZsHTeNtAj4'],158f0946e95c72d87d25294f896e5cc9f46dd0d6256a73c45227642454a38599,12.60983232
2020-08-21 17:37:12,"['3KtEFL9SXpDQxp5W8SZ9DEVutc3pqjzVrP', '36C31DQDd5QDCP6hdPpWcC9aZsHTeNtAj4']",129e814d8d0e2d8f7c9e36fe4f44eaeecc703b3726aa690e279d4dc68345ecae,-0.01023881
2020-08-21 17:43:50,"['3KtEFL9SXpDQxp5W8SZ9DEVutc3pqjzVrP', '3BS1iuRtq6fHJWR5hA5a535kGf4JRwYW9k']",ac80f6282137e150495977dead0417274a0cd58b2320fc456656f4ff4239951f,-9.26023881
2020-08-26 17:32:47,"['3ETb8pBTDQWHkakuAhUMSCDxmfFkSEAApP', '36C31DQDd5QDCP6hdPpWcC9aZsHTeNtAj4']",320975d46b41e99da0c48a3f952b3c622fbbbdf0aaeb65f6049da1bf3aa66870,-23.00026159
2020-08-26 20:15:24,['3M7iFP52r1dqkw32DZ5dZXJXVoqATyNy3P'],0f8caad6f4cd8222dc4ff1243c57787d2731d33ca0e1130b32c56633875e40af,0.01
2020-08-26 20:38:27,['3M7iFP52r1dqkw32DZ5dZXJXVoqATyNy3P'],8df8e22ddfd6bfcd48ab679f9e9e9d9e289d7d12fcc8489ecf36bbbb8ff6d85f,24.99
2020-08-26 22:02:36,"['3PMTFUY47btxzcRhq5ERYTcSKxPTyufKkX', '32wmfDJYsYPmVyAXWpr65pB6omJJ1JUJpq']",1855d4d4c2bce7509739bbbe63fbee4cb0342ee161486efde7e4e22dc45d3798,-10.00016867
